T		embryonic day 8.5	13	notochord	Present
Fgf4	Dbf / Dbf<+>	embryonic day 11.5	19	forelimb bud apical ectodermal ridge	Present
Fgf4	Dbf / Dbf<+>	embryonic day 11.5	19	hindlimb bud apical ectodermal ridge	Present
Prrx1		embryonic day 9.5	15	branchial arch	Present
Fgf8		embryonic day 9.5	15	telencephalon floor plate	Present
Fgf8		embryonic day 9.5	15	telencephalon lateral wall	Present
Fgf8		embryonic day 9.5	15	telencephalon roof plate	Present
Fst		embryonic day 9.5	15	rhombomere 01	Present
Fst		embryonic day 9.5	15	rhombomere 02	Present
Fst		embryonic day 9.5	15	rhombomere 04	Present
Fst		embryonic day 9.5	15	rhombomere 06	Present
Evx1	Tyr<c-1DThWb> / Tyr<c-1DThWb>	embryonic day 7.5	11	embryo ectoderm	Absent
Evx1	Tyr<c-1DThWb> / Tyr<c-1DThWb>	embryonic day 7.5	11	primitive streak	Absent
Evx1	Tyr<c-1DThWb> / Tyr<c-1DThWb>	embryonic day 7.5	11	ectoplacental cone	Absent
Evx1	Tyr<c-1DThWb> / Tyr<c-1DThWb>	embryonic day 7.5	11	parietal endoderm	Absent
Evx1	Tyr<c-1DThWb> / Tyr<c-1DThWb>	embryonic day 7.5	11	extraembryonic visceral endoderm	Absent
Evx1	Tyr<c-1DThWb> / Tyr<c-1DThWb>	embryonic day 7.5	11	chorion ectoderm	Absent
Hoxb1	Mafb<kr> / Mafb<kr> ; a / a	embryonic day 9.5	15	rhombomere 05	Present
Pax6		embryonic day 10.5	17	midbrain	Present
Nodal	Aldh1a2<tm1Ipc> / Aldh1a2<tm1Ipc>	embryonic day 8.0	12	lateral plate mesenchyme	Present
Hoxa3		embryonic day 9.5	15	rhombomere 01	Absent
Hoxa3		embryonic day 9.5	15	rhombomere 02	Absent
Hoxa3		embryonic day 9.5	15	rhombomere 03	Absent
Hoxa3		embryonic day 9.5	15	rhombomere 04	Absent
Pecam1	Itgb8<tm1Lfr> / Itgb8<tm1Lfr>	embryonic day 12.5	20	cardiovascular system	Present
Bmp2		embryonic day 12.5	20	median lingual swelling epithelium	Present
Bmp2		embryonic day 12.5	20	lateral lingual swelling epithelium	Present
